0.085	2.26145398362e-07
0.086	2.44500959928e-07
0.087	2.52919749289e-07
0.088	2.58473550846e-07
0.089	2.7371543017e-07
0.09	2.84991050481e-07
0.091	2.91669105742e-07
0.092	2.86474092388e-07
0.093	2.7611289701e-07
0.094	2.46568928388e-07
0.095	1.87707400545e-07
0.096	1.07087378921e-07
0.097	1.03446154404e-08
0.098	-9.31116889512e-08
0.099	-1.90347567557e-07
0.1	-2.64110486836e-07
0.101	-3.09322735398e-07
0.102	-3.40223709247e-07
0.103	-3.48898815109e-07
0.104	-3.41498164186e-07
0.105	-3.2156926885e-07
0.106	-2.96456755027e-07
0.107	-2.89874950776e-07
0.108	-2.73091599336e-07
0.109	-2.59385007761e-07
0.11	-2.66874347231e-07
0.111	-2.76452409214e-07
0.112	-2.84154702032e-07
0.113	-2.60346078239e-07
0.114	-2.59722669467e-07
0.115	-2.48694778975e-07
