C_d	migration_torque	FINAL_N_MIN	FINAL_N_MAX	FINAL_N_MEAN	FINAL_N_MEDIAN	FINAL_M_RAT_PRI_TOT_MIN	FINAL_M_RAT_PRI_TOT_MAX	FINAL_M_RAT_PRI_TOT_MEAN	FINAL_M_RAT_PRI_TOT_MEDIAN	FINAL_M_RAT_SEC_TOT_MIN	FINAL_M_RAT_SEC_TOT_MAX	FINAL_M_RAT_SEC_TOT_MEAN	FINAL_M_RAT_SEC_TOT_MEDIAN
0.0	False	2	5	3.0625	3.0	0.4722463362778363	0.8532046776458072	0.6492823858482071	0.6281499560369237	0.12222136792408189	0.4641988257811249	0.3265515923844655	0.3703751098372101
0.0	True	1	5	3.09375	3.0	0.6105897091939058	1.0	0.8007779364601884	0.7705505885694408	0.009347709834330344	0.36225295167020305	0.1771300594032822	0.17794091683309454
0.44	False	3	7	5.71875	6.0	0.3836212851557791	0.6869775872335397	0.5338288388402104	0.5278536028896346	0.1775620951619961	0.44609326834957846	0.3043044546855177	0.3101759374488
0.44	True	3	7	4.78125	5.0	0.33526052390899486	0.779093418395929	0.5427152330606259	0.5459469744641949	0.11468080202339231	0.438114732979057	0.2937599914234951	0.29770830271920956
